Incident_Occurred_Date,Incident_Location,City,State,Incident_Type,Allegation,Incident_Disposition,Citizen_Race,Citizen_Gender,Officer_Race,Officer_Gender,FID,Incident_ID
2018-01-27 12:00:00,N Capitol Ave / W Oakland Ave,Lansing,MI, Citizen complaint,Use of Force,Informational Only,Black,Female,White,Male,35,18208
2018-01-27 12:00:00,N Capitol Ave / W Oakland Ave,Lansing,MI, Citizen complaint,Use of Force,Informational Only,Black,Female,White,Male,36,18208
2019-08-21 12:00:00,S Washington / W Washtenaw St,Lansing,MI, Citizen complaint,Courtesy,Informational Only,White,Female, ,  ,1,17754
2019-08-02 12:00:00,E Malcolm X St / Bensch St,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Black,Male, , ,2,17773
2019-10-08 12:00:00,W Miller Rd / Hughes Rd,Lansing,MI, Citizen complaint,Courtesy,Informational Only,White,Female,White,Male,3,17845
2019-10-09 12:00:00,E Kalamazoo St / S Holmes St,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Unknown,Male,  , ,4,17854
2019-11-05 12:00:00,E Cavanaugh Rd / Aurelius Rd,Lansing,MI, Citizen complaint,Departmental Reports,Informational Only,White,Female,White,Male,5,17889
2019-11-05 12:00:00,E Cavanaugh Rd / Aurelius Rd,Lansing,MI, Citizen complaint,Courtesy,Informational Only,White,Female,White,Male,6,17889
2019-11-07 12:00:00,W Michigan Ave / N Capitol Ave,Lansing,MI, Citizen complaint,,Informational Only,White,Male,  ,  ,7,17893
2019-11-10 12:00:00,E Michigan Ave / S Pennsylvania Ave,Lansing,MI, Citizen complaint,,Informational Only,Black,Female, , ,8,17900
2019-11-05 12:00:00,Southland Ave / S Washington Ave,Lansing,MI, Citizen complaint,,Informational Only,Black,Male, , ,9,17914
2019-11-08 12:00:00,S Martin Luther King Jr Blvd / Loa St,Lansing,MI, Citizen complaint,,Informational Only,White,Male, , ,10,17926
2019-12-23 12:00:00,Appleton Ave / Fred St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Male, Black, Male,11,17954
2019-12-21 12:00:00,E Jolly Rd / S Cedar St,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Unknown,Male,White,Male,12,17956
2019-12-29 12:00:00,Wise Rd / W Miller Rd,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Female,White,Female,14,18007
2019-12-04 12:00:00,Chadburne Dr / Glenburne Ave,Lansing,MI,Citizen complaint,Abuse of Process,Informational Only,White,Male,White,Male,126,18893
2020-01-30 12:00:00,Downey St / Mildred St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,Black,Male,13,18000
2020-02-24 12:00:00,W Holmes Rd / Schlee St,Lansing,MI, Citizen complaint,Arrest; Search and Seizure,Exonerated,Black,Male,White,Male,15,18030
2020-01-30 12:00:00,S Cedar St / Jessop Ave,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Female,White,Male,16,18031
2020-02-13 12:00:00,S Washington Ave / W Holmes Rd,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Female,White,Female,17,18041
