BPSno,OccurredDate,OfficerAge,OfficerYearsEmployed,OfficerAssignment,CitizenAge,CitizenRace,CitizenSex,OfficerRace,OfficerSex,ReportNumber,ReceivedDate,Month,Year,OfficerDivision,CitizenInjury,ForceEffective,Active Resistance,Physical Aggression,Non Compliance,Deadly Weapon,Assault,Fleeing,Passive Resistance,Not Noted,OfficerInjury,ForceType
UOF18-055,2018-01-10,30-39,6-10 yrs,Canine Unit,11-19,Black,Male,White,Male,18-1737,2018-01-10,1,2018,Special Operations,K-9 bite wound,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Canine
UOF18-049,2018-01-15,30-39,6-10 yrs,South County Precinct,11-19,White,Male,White,Male,18-2606,2018-01-15,1,2018,Patrol,No injuries noted or visible,No,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-076,2018-01-27,30-39,6-10 yrs,North County Precinct,11-19,Black,Male,White,Male,18-5037,2018-01-27,1,2018,Patrol,No injuries noted or visible,Yes,1,0,0,0,1,0,0,0,No injuries noted or visible,Taser
UOF18-181,2018-03-14,30-39,6-10 yrs,Drug Enforcement,11-19,Black,Male,White,Male,18-13079,2018-03-14,3,2018,Criminal Investigation,Minor Injury,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-181,2018-03-14,30-39,6-10 yrs,Drug Enforcement,11-19,Black,Male,White,Male,18-13079,2018-03-14,3,2018,Criminal Investigation,Minor Injury,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-134,2018-04-17,30-39,6-10 yrs,Tactical Op.,11-19,Black,Male,White,Male,18-19440,2018-04-17,4,2018,Special Operations,Minor Injury,Yes,1,0,1,0,0,0,1,0,No injuries noted or visible,Taser
UOF18-216,2018-05-03,30-39,6-10 yrs,Drug Enforcement,11-19,Black,Male,White,Male,18-21511,2018-05-03,5,2018,Criminal Investigation,Minor Injury,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF18-162,2018-05-18,30-39,6-10 yrs,North County Precinct,11-19,Black,Male,White,Male,18-25405,2018-05-18,5,2018,Patrol,No injuries noted or visible,Limited,0,0,1,0,0,1,0,0,No injuries noted or visible,Taser
UOF18-162,2018-05-18,30-39,6-10 yrs,North County Precinct,11-19,Black,Male,White,Male,18-25405,2018-05-18,5,2018,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-184,2018-06-25,30-39,6-10 yrs,Central County Precinct,11-19,White,Male,White,Female,18-32450,2018-06-25,6,2018,Patrol,Minor Injury,Yes,1,0,0,0,0,0,0,0,Minor,Physical Restraint
UOF18-172,2018-06-28,30-39,6-10 yrs,North County Precinct,11-19,Black,Male,White,Male,18-32962,2018-06-28,6,2018,Patrol,Minor Injury,Yes,0,0,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-243,2018-08-15,20-29,6-10 yrs,Canine Unit,11-19,Black,Male,White,Male,18-41512,2018-08-15,8,2018,Special Operations,K-9 bite wound,Yes,1,0,1,0,0,0,1,0,No injuries noted or visible,Canine
UOF19-004,2018-08-22,30-39,6-10 yrs,Drug Enforcement,11-19,Black,Male,White,Male,18-42836,2018-08-22,8,2018,Criminal Investigation,Minor Injury,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF19-004,2018-08-22,40-49,6-10 yrs,Drug Enforcement,11-19,Black,Male,White,Male,18-42836,2018-08-22,8,2018,Criminal Investigation,Minor Injury,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-275,2018-04-18,30-39,6-10 yrs,North County Precinct,11-19,Black,Male,White,Male,18-19543,2018-09-11,9,2018,Patrol,Minor Injury,Yes,1,1,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF19-036,2018-11-20,30-39,6-10 yrs,Child Abuse,11-19,Black,Male,White,Male,18-43461,2018-11-20,11,2018,Criminal Investigation,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-036,2018-11-20,40-49,6-10 yrs,Auto Crime Unit,11-19,Black,Male,White,Female,18-43461,2018-11-20,11,2018,Criminal Investigation,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-293,2018-12-01,30-39,6-10 yrs,City Of Jennings Precinct,11-19,Black,Female,White,Male,18-060545,2018-12-01,12,2018,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-026,2018-12-15,20-29,6-10 yrs,Canine Unit,11-19,Black,Male,White,Male,18-62954,2018-12-15,12,2018,Special Operations,K-9 bite wound,Yes,1,0,0,0,0,1,1,0,No injuries noted or visible,Canine
UOF19-023,2018-12-27,30-39,6-10 yrs,Special Response Unit,11-19,Black,Male,White,Male,18-65032,2019-01-02,1,2019,Special Operations,Minor Injury,No,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-023,2018-12-27,30-39,6-10 yrs,Special Response Unit,11-19,Black,Male,White,Male,18-65032,2019-01-02,1,2019,Special Operations,Minor Injury,No,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF19-023,2018-12-27,30-39,6-10 yrs,Special Response Unit,11-19,Black,Male,White,Male,18-65032,2019-01-02,1,2019,Special Operations,Minor Injury,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Other
UOF19-023,2018-12-27,30-39,6-10 yrs,Special Response Unit,11-19,Black,Male,White,Male,18-65032,2019-01-02,1,2019,Special Operations,Minor Injury,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Pepper Spray
UOF19-023,2018-12-27,30-39,6-10 yrs,Special Response Unit,11-19,Black,Male,White,Male,18-65032,2019-01-02,1,2019,Special Operations,Minor Injury,No,1,1,0,0,0,0,0,0,Minor,Physical Restraint
UOF19-100,2019-01-03,30-39,6-10 yrs,Canine Unit,11-19,Black,Female,White,Male,19-404,2019-01-03,1,2019,Special Operations,K-9 bite wound,Yes,1,0,0,0,0,1,0,0,No injuries noted or visible,Canine
UOF19-049,2019-01-08,20-29,6-10 yrs,Bureau Of Transit Police,11-19,Black,Male,White,Male,19-001277,2019-01-08,1,2019,Special Operations,Minor Injury,No,1,0,1,0,0,0,0,0,Minor,Physical Restraint
