,case,date,day_of_week,time,premise_category,less_lethal_force_used_by_apd_prior_to_shooting,subject_weapon,number_of_officer_shooters,call_type_categories,officers_present_when_shots_fired,hits,location_1
0,"08-5059600
08-3110300",2008-11-06,Thu,3:56 AM,Parking Lot,No,gun,1,disturbance,3,2.0,"{'latitude': '30.319315', 'longitude': '-97.689358', 'human_address': '{""address"": ""6603 Berkman Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
0,"09-5006129
09-0302652",2009-01-30,Fri,10:46 PM,Business,No,gun,1,burglar alarm,8,0.0,"{'latitude': '30.214181', 'longitude': '-97.769479', 'human_address': '{""address"": ""4714 S Congress Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,"09-5053921
09-1310302",2009-05-11,Mon,5:07 AM,Parking Lot,No,gun,1,other - robbery suspect vehicle,3,3.0,"{'latitude': '30.307201', 'longitude': '-97.669664', 'human_address': '{""address"": ""6409 Springdale Rd"", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,"09-5072203
09-3620161",2009-12-28,Mon,2:54 AM,Residence,No,gun,2,domestic disturbance,3,1.0,"{'latitude': '30.151215', 'longitude': '-97.843473', 'human_address': '{""address"": ""11815 Johnny Weismuller Ln"", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,09-0431751,2009-02-12,Thu,5:51 PM,Parking Lot,No,"gun, vehicle",1,warrant,4,2.0,"{'latitude': '30.443284', 'longitude': '-97.787553', 'human_address': '{""address"": ""9218 Balcones Club Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
4,"09-5052963
09-2280484",2009-08-16,Sun,3:06 AM,Parking Lot,No,vehicle,2,traffic stop,3,4.0,"{'latitude': '30.235461', 'longitude': '-97.718944', 'human_address': '{""address"": ""1515 Wickersham Ln"", ""city"": """", ""state"": """", ""zip"": """"}'}"
0,"10-5058733
10-5058741
10-5058742
10-3060261",2010-11-02,Tue,05:17 / 06:10,Residence / Parking Lot,No,gun,2,disturbance,5,4.0,"{'latitude': '30.41496', 'longitude': '-97.703314', 'human_address': '{""address"": ""12320 Tomanet Trl / 12331 N Mopac Expy Svrd NB"", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,"10-2740401
10-2741075",2010-10-01,Fri,5:53 AM,Business,No,gun,1,burglar alarm,2,4.0,"{'latitude': '30.19096', 'longitude': '-97.771937', 'human_address': '{""address"": ""801 E William Cannon Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,"10-5055642
10-2680066",2010-09-25,Sat,4:26 AM,Street,No,gun,1,domestic disturbance,30,1.0,"{'latitude': '30.219623', 'longitude': '-97.689696', 'human_address': '{""address"": ""7800 E Ben White Blvd WB"", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,"10-5068185
10-3572205",2010-12-23,Thu,10:53 PM,Street,Yes - Taser and Weaponless,knife,1,traffic stop,2,1.0,"{'latitude': '30.438023', 'longitude': '-97.740493', 'human_address': '{""address"": ""13006 Campos Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
0,"11-5052201
11-3090370",2011-11-05,Sat,3:10 AM,Parking Lot,Yes - Taser,none (radio face plate),1,disturbance,2,0.0,"{'latitude': '30.159946', 'longitude': '-97.77643', 'human_address': '{""address"": ""810 E Slaughter Ln"", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,"11-5038917
11-2271207",2011-08-15,Mon,4:50 PM,Street,No,gun,2,robbery,3,0.0,"{'latitude': '26.489341', 'longitude': '-80.089825', 'human_address': '{""address"": ""3630 S Congress Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,"11-5028251
11-1502313",2011-05-30,Mon,11:07 PM,Street,No,vehicle,1,suspicious person,2,4.0,"{'latitude': '40.868762', 'longitude': '-97.583783', 'human_address': '{""address"": ""800 Block E 8th St"", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,11-3390300,2011-12-05,Mon,6:53 AM,Street,No,vehicle,2,stolen vehicle,10,3.0,"{'latitude': '30.181796', 'longitude': '-97.856066', 'human_address': '{""address"": ""3708 Aspen Creek Pkwy"", ""city"": """", ""state"": """", ""zip"": """"}'}"
4,"11-5023381
11-1290071",2011-05-09,Mon,1:03 AM,Yard/Courtyard,No,gun,1,shots fired,2,3.0,"{'latitude': '30.233907', 'longitude': '-97.731631', 'human_address': '{""address"": ""1919 Burton Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
5,11-5060110 11-3621220,2011-12-28,Wed,5:19 PM,Parking Lot,No,vehicle,1,other - narcotics,4,0.0,"{'latitude': '29.56345', 'longitude': '-98.340468', 'human_address': '{""address"": ""7800 N IH 35 Svrd SB"", ""city"": """", ""state"": """", ""zip"": """"}'}"
0,"12-5016942
12-0961610",2012-04-05,Thu,6:40 PM,Yard/Courtyard,Yes - Taser and Weaponless,mic cord,1,traffic stop,1,3.0,"{'latitude': '30.298349', 'longitude': '-97.684711', 'human_address': '{""address"": ""5200 Block Overbrook Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,"12-5043966
12-2691696",2012-09-25,Tue,8:39 PM,Parking Lot,No,vehicle,1,stolen vehicle,2,1.0,"{'latitude': '30.227091', 'longitude': '-97.74466', 'human_address': '{""address"": ""2915 S IH 35 Svrd NB"", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,"12-5005552
12-0341696",2012-02-03,Fri,9:33 PM,Parking Lot,No,gun,1,check welfare,16,1.0,"{'latitude': '30.355057', 'longitude': '-97.752106', 'human_address': '{""address"": ""7201 Wood Hollow Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,"12-5047326
12-2940313",2012-10-20,Sat,2:10 AM,Street,No,vehicle,1,disturbance,3,0.0,"{'latitude': '38.848634', 'longitude': '-91.944226', 'human_address': '{""address"": ""300 block E 6th St"", ""city"": """", ""state"": """", ""zip"": """"}'}"
0,"13-5033792
13-2071392",2013-07-26,Fri,4:10 PM,Under Bridge,No,none,1,suspicious person,1,1.0,"{'human_address': '{""address"": ""W 35th St/W 34th St (3500 CRAWFORD AVE)"", ""city"": """", ""state"": """", ""zip"": """"}'}"
