,case,date,officer_name,rank,officer_race_ethnicity,officer_gender,officer_age,pd_agency_jurisdiction,years_le_experience,prev_ois,officer_weapon_caliber,officer_weapon_type,was_officer_informed_that_subject_was_armed,shots_fired_by_officer,how_cleared,location_1
0,"08-5059600
08-3110300",2008-11-06,Ofc. Will Ray,ofc,White,Male,23,APD,1.0,No,0.4,handgun,Yes,4,No Billed by Grand Jury,"{'latitude': '30.319315', 'longitude': '-97.689358', 'human_address': '{""address"": ""6603 Berkman Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
0,09-0431751,2009-02-12,Dep. Darren Sartin (U.S. Marshal),other - dep,White,Male,40,US Marshal,14.0,No,0.40,handgun,Yes,3,No Billed by Grand Jury,"{'latitude': '30.443284', 'longitude': '-97.787553', 'human_address': '{""address"": ""9218 Balcones Club Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,"09-5072203
09-3620161",2009-12-28,Ofc. Justin Berry,ofc,White,Male,24,APD,2.0,No,0.40,handgun,no (subject did have gun),1,No Billed by Grand Jury,"{'latitude': '30.151215', 'longitude': '-97.843473', 'human_address': '{""address"": ""11815 Johnny Weismuller Ln"", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,"09-5052963
09-2280484",2009-08-16,Agt. Joe Cronin (TABC),other - agt,White,Male,31,TABC,9.0,No,0.45,handgun,No,3,No Billed by Grand Jury,"{'latitude': '30.235461', 'longitude': '-97.718944', 'human_address': '{""address"": ""1515 Wickersham Ln"", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,"09-5006129
09-0302652",2009-01-30,Ofc. Jeffrey Kirkpatrick,ofc,White,Male,36,APD,6.0,No,0.45,handgun,No (subject did have gun),1,not presented to grand jury (DA declined),"{'latitude': '30.214181', 'longitude': '-97.769479', 'human_address': '{""address"": ""4714 S Congress Ave"", ""city"": """", ""state"": """", ""zip"": """"}'}"
4,"09-5053921
09-1310302",2009-05-11,Ofc. Leonardo Quintana,ofc,Hispanic,Male,33,APD,8.0,No,0.40,handgun,No (subject did have gun),5,No Billed by Grand Jury,"{'latitude': '30.307201', 'longitude': '-97.669664', 'human_address': '{""address"": ""6409 Springdale Rd"", ""city"": """", ""state"": """", ""zip"": """"}'}"
5,"09-5072203
09-3620161",2009-12-28,Dep. Theodore Ramsey (TCSO),other - dep,White,Male,36,TCSO,9.0,No,12 gauge,shotgun,no (subject did have gun),1,No Billed by Grand Jury,"{'latitude': '30.151215', 'longitude': '-97.843473', 'human_address': '{""address"": ""11815 Johnny Weismuller Ln"", ""city"": """", ""state"": """", ""zip"": """"}'}"
6,"09-5052963
09-2280484",2009-08-16,Agt. John Altum (TABC),other - agt,White,Male,36,TABC,16.0,No,0.40,handgun,No,16,No Billed by Grand Jury,"{'latitude': '30.235461', 'longitude': '-97.718944', 'human_address': '{""address"": ""1515 Wickersham Ln"", ""city"": """", ""state"": """", ""zip"": """"}'}"
0,"10-5068185
10-3572205",2010-12-23,Ofc. Frank Wilson V,ofc,Black,Male,36,APD,6.0,No,0.40,handgun,No (subject did have knife),1,No Billed by Grand Jury,"{'latitude': '30.438023', 'longitude': '-97.740493', 'human_address': '{""address"": ""13006 Campos Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,"10-5058733
10-5058741
10-5058742
10-3060261",2010-11-02,Ofc. Jason Martin,ofc,White,Male,30,APD,3.0,No,0.40,handgun,Yes,2,No Billed by Grand Jury,"{'latitude': '30.41496', 'longitude': '-97.703314', 'human_address': '{""address"": ""12320 Tomanet Trl"", ""city"": """", ""state"": """", ""zip"": """"}'}"
