_id,IdentificationNumber,Department,Status,DateReported,Date Closed,Category1,Category2,Category3,Category4
2019 - Q3,,,,,,,,,
318,2019-0089,Milwaukee Police Department,Closed,07/01/2019,7/1/2019,Department Procedures,,,
319,2019-0090,Milwaukee Police Department,Closed,06/24/2019,10/3/2019,Department Procedures,Discourtesy,Disparate Treatment,
320,2019-0091,Milwaukee Police Department,Closed,07/01/2019,7/3/2019,Department Services,,,
321,2019-0092,NON EMPLOYEE,Closed,07/05/2019,7/5/2019,No Allegation,,,
322,2019-0093,Milwaukee Police Department,Closed,07/08/2019,7/8/2019,Department Procedures,,,
323,2019-0094,NON EMPLOYEE,Closed,07/08/2019,7/8/2019,Discourtesy,,,
324,2019-0095,Milwaukee Fire Department,Closed,07/09/2019,9/17/2019,Discourtesy,,,
325,2019-0096,Milwaukee Police Department,Closed,07/09/2019,7/9/2019,Discourtesy,,,
326,2019-0097,Milwaukee Police Department,Closed,07/10/2019,7/11/2019,Department Procedures,,,
327,2019-0098,Milwaukee Fire Department,Closed,06/10/2019,8/12/2019,Department Services,,,
328,2019-0099,Milwaukee Fire Department,Closed,06/06/2019,12/16/2019,Discourtesy,Disparate Treatment,,
329,2019-0100,Milwaukee Police Department,Closed,07/16/2019,7/16/2019,Discourtesy,,,
330,2019-0101,Milwaukee Police Department,Closed,07/16/2019,8/13/2019,Department Procedures,,,
331,2019-0102,Milwaukee Police Department,Closed,07/17/2019,7/17/2019,Department Services,,,
332,2019-0103,Milwaukee Police Department,Closed,07/16/2019,7/17/2019,Discourtesy,,,
333,2019-0104,Milwaukee Police Department,Closed,07/23/2019,7/23/2019,Discourtesy,,,
334,2019-0105,Milwaukee Fire Department,Closed,07/22/2019,8/13/2019,Discourtesy,Disparate Treatment,,
335,2019-0106,Milwaukee Police Department,Closed,07/26/2019,7/30/2019,No Allegation,,,
336,2019-0107,NON EMPLOYEE,Closed,07/26/2019,7/26/2019,Department Services,,,
337,2019-0108,Milwaukee Police Department,Closed,07/30/2019,7/30/2019,No Allegation,,,
338,2019-0109,Milwaukee Fire Department,Closed,07/31/2019,9/18/2019,Department Procedures,,,
339,2019-0110,Milwaukee Police Department,Closed,07/31/2019,7/31/2019,Use of Force,,,
340,2019-0111,Milwaukee Police Department,Closed,08/07/2019,8/9/2019,Department Services,,,
341,2019-0112,Milwaukee Police Department,Closed,08/12/2019,8/12/2019,Department Procedures,,,
342,2019-0113,NON EMPLOYEE,Closed,08/12/2019,8/13/2019,Discourtesy,,,
343,2019-0114,Milwaukee Police Department,Closed,08/13/2019,8/13/2019,Department Procedures,,,
344,2019-0115,Milwaukee Police Department,Closed,08/14/2019,8/21/2019,Department Services,,,
345,2019-0116,Milwaukee Police Department,Closed,08/15/2019,9/13/2019,Department Services,,,
346,2019-0117,Milwaukee Police Department,Closed,08/16/2019,9/17/2019,Department Procedures,Unjustified Search,,
347,2019-0118,Milwaukee Police Department,Closed,08/20/2019,8/20/2019,Department Services,,,
348,2019-0119,Milwaukee Police Department,Closed,08/19/2019,8/21/2019,Department Services,,,
349,2019-0120,Milwaukee Police Department,Closed,08/22/2019,8/22/2019,Department Procedures,Use of Force,,
350,2019-0121,NON EMPLOYEE,Closed,08/21/2019,8/23/2019,No Allegation,,,
351,2019-0122,Milwaukee Police Department,Closed,08/21/2019,8/23/2019,Discourtesy,,,
352,2019-0123,Milwaukee Police Department,Closed,08/22/2019,8/22/2019,Department Services,,,
353,2019-0124,Milwaukee Police Department,Closed,08/22/2019,9/5/2019,Department Procedures,Department Services,,
354,2019-0125,Milwaukee Police Department,Closed,08/27/2019,8/27/2019,Discourtesy,,,
355,2019-0126,Milwaukee Police Department,Closed,08/27/2019,9/20/2019,Disparate Treatment,,,
356,2019-0127,Milwaukee Police Department,Closed,08/30/2019,8/30/2019,Discourtesy,,,
357,2019-0128,Milwaukee Police Department,Closed,09/03/2019,9/5/2019,Department Procedures,,,
358,2019-0129,NON EMPLOYEE,Closed,09/16/2019,9/16/2019,No Allegation,,,
359,2019-0130,Milwaukee Police Department,Closed,09/06/2019,1/17/2020,Department Procedures,Use of Force,Disparate Treatment,
360,2019-0131,Milwaukee Police Department,Closed,09/16/2019,9/17/2019,Discourtesy,Department Services,,
361,2019-0132,Milwaukee Police Department,Closed,09/17/2019,9/23/2019,Department Services,,,
362,2019-0133,Milwaukee Police Department,Closed,09/17/2019,9/19/2019,Department Procedures,,,
363,2019-0134,NON EMPLOYEE,Closed,09/17/2019,9/19/2019,Department Services,,,
364,2019-0135,Milwaukee Police Department,Closed,09/11/2019,9/19/2019,Department Procedures,,,
365,2019-0136,Milwaukee Police Department,Closed,09/12/2019,9/12/2019,Department Services,,,
366,2019-0137,Milwaukee Police Department,Closed,09/20/2019,9/20/2019,Department Services,,,
367,2019-0138,Milwaukee Police Department,Closed,09/18/2019,9/23/2019,Use of Force,,,
368,2019-0139,Milwaukee Police Department,Closed,09/20/2019,9/23/2019,Department Procedures,,,
369,2019-0140,NON EMPLOYEE,Closed,09/23/2019,9/23/2019,Department Services,,,
370,2019-0141,Milwaukee Police Department,Closed,09/23/2019,10/21/2019,Discourtesy,,,
371,2019-0142,Milwaukee Police Department,Closed,09/24/2019,9/25/2019,Department Procedures,,,
372,2019-0143,Milwaukee Police Department,Closed,09/24/2019,9/27/2019,Disparate Treatment,,,
373,2019-0144,Milwaukee Police Department,Closed,09/23/2019,9/26/2019,Department Services,,,
374,2019-0145,Milwaukee Police Department,Closed,09/30/2019,10/14/2019,Department Services,,,
375,2019-0146,Milwaukee Police Department,Closed,09/30/2019,9/30/2019,Department Procedures,,,
376,2019-0147,Milwaukee Police Department,Closed,09/27/2019,10/14/2019,Department Procedures,,,
